Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.70      0.71     0.71                             LaunchParallelEntryCompare
 12.52      1.41     0.70   117283     0.00     0.00  FxchCuda_SCHashTableInsert
  9.84      1.96     0.55  6790138     0.00     0.00  Kit_TruthIsop5_rec
  8.59      2.44     0.48 11757008     0.00     0.00  Kit_GraphLeafDepth_rec
  6.08      2.78     0.34    81646     0.00     0.00  PrepareCubeDataForGPU
  3.94      3.00     0.22  4563114     0.00     0.00  Kit_TruthIsop_rec
  3.76      3.21     0.21  6271274     0.00     0.00  Kit_SopWorstLiteral
  3.76      3.42     0.21        1     0.21     0.21  Fxch_CubesGruping
  3.58      3.62     0.20        1     0.20     0.20  Fxch_CubesUnGruping
  3.13      3.79     0.17  8909638     0.00     0.00  Kit_SopFactorTrivialCube_rec
  2.50      3.94     0.14   133385     0.00     0.00  If_ObjPerformMappingAnd
  2.33      4.07     0.13  3485889     0.00     0.00  Kit_SopDivideInternal
  1.79      4.17     0.10  5424181     0.00     0.00  Kit_SopAnyLiteral
  1.70      4.26     0.10 71026978     0.00     0.00  Kit_TruthCofactor1
  1.70      4.36     0.10   516463     0.00     0.00  If_CutAreaDeref
  1.43      4.43     0.08  3004141     0.00     0.00  Kit_SopDivideByCube
  1.25      4.50     0.07 54851867     0.00     0.00  Kit_TruthVarInSupport
  1.25      4.58     0.07  2260446     0.00     0.00  If_CutComputeTruth
  1.25      4.64     0.07    31030     0.00     0.00  Fxch_ManDivSingleCube
  1.07      4.71     0.06 71026978     0.00     0.00  Kit_TruthCofactor0
  1.07      4.76     0.06  2509212     0.00     0.00  If_CutFilter
  1.07      4.83     0.06    24559     0.00     0.00  FxchCuda_SCHashTableRemove
  0.89      4.88     0.05    30728     0.00     0.00  Fxch_ManDivDoubleCube
  0.72      4.92     0.04  3136574     0.00     0.00  Kit_SopDivideByLiteralQuo
  0.72      4.96     0.04                             _init
  0.54      4.99     0.03  6450871     0.00     0.00  Kit_SopDivisor
  0.54      5.01     0.03  3004141     0.00     0.00  Kit_SopBestLiteral
  0.54      5.04     0.03  2639821     0.00     0.00  If_CutMergeOrdered
  0.54      5.08     0.03  2260446     0.00     0.00  Abc_NtkRenodeEvalAig
  0.54      5.11     0.03  1831917     0.00     0.00  If_CutAreaFlow
  0.54      5.13     0.03   516463     0.00     0.00  If_CutAreaRef
  0.45      5.16     0.03                             Kit_TruthCofactor0Count
  0.45      5.18     0.03                             Kit_TruthPermute
  0.36      5.21     0.02  6742629     0.00     0.00  Abc_TtSwapVars
  0.36      5.22     0.02  6167257     0.00     0.00  Kit_SopFactor_rec
  0.36      5.25     0.02  3487763     0.00     0.00  Kit_SopMakeCubeFree
  0.36      5.26     0.02  3337037     0.00     0.00  If_ManSortCompare
  0.36      5.29     0.02  3004141     0.00     0.00  Kit_SopFactorLF_rec
  0.36      5.30     0.02  2367154     0.00     0.00  If_CutDelay
  0.36      5.33     0.02  2281557     0.00     0.00  Kit_SopFactor
  0.36      5.34     0.02  2281557     0.00     0.00  Kit_TruthIsop
  0.36      5.37     0.02  2281557     0.00     0.00  Vec_MemHashLookup
  0.36      5.38     0.02  2260446     0.00     0.00  If_CutTruthW
  0.36      5.41     0.02        1     0.02     1.01  Fxch_ManDivCreate
  0.27      5.42     0.01    51252     0.00     0.00  Hsh_VecManAdd
  0.27      5.43     0.01                             Kit_TruthSupportSize
  0.18      5.45     0.01 11500903     0.00     0.00  Kit_GraphAppendNode
  0.18      5.46     0.01  3134700     0.00     0.00  Kit_SopDup
  0.18      5.46     0.01  2211242     0.00     0.00  If_CutSort
  0.18      5.47     0.01   200065     0.00     0.00  Mem_FixedEntryFetch
  0.18      5.49     0.01   169728     0.00     0.00  Dar_TruthPermute
  0.18      5.50     0.01    87085     0.00     0.00  If_CutPropagateRequired
  0.18      5.50     0.01    37974     0.00     0.00  Fxch_DivAdd
  0.18      5.51     0.01    29614     0.00     0.00  cuddReclaim
  0.18      5.53     0.01    13278     0.00     0.00  Fxch_DivRemove
  0.18      5.54     0.01     2335     0.00     0.00  If_ManMarkMapping_rec
  0.18      5.54     0.01     1170     0.00     0.00  Fxch_ManUpdate
  0.18      5.55     0.01        2     0.01     0.01  cuddInitCache
  0.18      5.57     0.01        1     0.01     0.01  Fxch_ManMapLiteralsIntoCubes
  0.09      5.57     0.01    26677     0.00     0.00  Abc_NodeIsExorType
  0.09      5.58     0.01     5832     0.00     0.00  Vec_QueMoveDown
  0.09      5.58     0.01                             Abc_VecObjPushUniqueOrderByLevel
  0.09      5.58     0.01                             If_CutAverageRefs
  0.09      5.59     0.01                             Kit_DsdNpn4ClassNames
  0.00      5.59     0.00  8007522     0.00     0.00  Kit_GraphAddNodeAnd
  0.00      5.59     0.00  3493381     0.00     0.00  Kit_GraphAddNodeOr
  0.00      5.59     0.00  3316171     0.00     0.00  Kit_SopFactorTrivial_rec
  0.00      5.59     0.00  3134700     0.00     0.00  Kit_SopDivisorZeroKernel_rec
  0.00      5.59     0.00  3004141     0.00     0.00  Kit_SopBestLiteralCover
  0.00      5.59     0.00  2281557     0.00     0.00  Kit_GraphCreate
  0.00      5.59     0.00  2281557     0.00     0.00  Kit_GraphFree
  0.00      5.59     0.00  2281557     0.00     0.00  Kit_SopCreateInverse
  0.00      5.59     0.00  2281557     0.00     0.00  Kit_TruthToGraph
  0.00      5.59     0.00  2281557     0.00     0.00  Vec_MemHashInsert
  0.00      5.59     0.00   486033     0.00     0.00  If_CutAreaDerefed
  0.00      5.59     0.00   351189     0.00     0.00  Kit_SopIsCubeFree
  0.00      5.59     0.00   256364     0.00     0.00  Cudd_RecursiveDeref
  0.00      5.59     0.00   220630     0.00     0.00  Kit_SopCommonCubeCover
  0.00      5.59     0.00   187206     0.00     0.00  Extra_ProgressBarUpdate_int
  0.00      5.59     0.00   187161     0.00     0.00  Abc_NodeIsTravIdCurrent
  0.00      5.59     0.00   169728     0.00     0.00  Dar_TruthPermute_int
  0.00      5.59     0.00   163870     0.00     0.00  Cudd_Ref
  0.00      5.59     0.00   148815     0.00     0.00  Abc_ObjAddFanin
