Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 28.83      0.40     0.40  1219076     0.00     0.00  Fxch_SCHashTableEntryCompare
 15.69      0.61     0.21    10767     0.00     0.00  Fxch_SCHashTableInsert
 13.14      0.79     0.18  1217244     0.00     0.00  launch_kernel
  8.03      0.90     0.11                             _init
  5.84      0.98     0.08  2442170     0.00     0.00  Vec_IntEntry
  5.11      1.05     0.07  1217244     0.00     0.00  __device_stub__Z23compatible_check_kernelPiS_iS_(int*, int*, int, int*)
  2.92      1.09     0.04  2441087     0.00     0.00  Vec_IntSize
  2.19      1.12     0.03  2438535     0.00     0.00  Vec_WecEntry
  1.82      1.15     0.03  1217244     0.00     0.00  cudaError cudaLaunchKernel<char>(char const*, dim3, dim3, void**, unsigned long, CUstream_st*)
  1.46      1.17     0.02  1935322     0.00     0.00  Kit_TruthCofactor1
  1.46      1.19     0.02  1319207     0.00     0.00  Kit_TruthVarInSupport
  1.46      1.21     0.02   186622     0.00     0.00  Kit_TruthIsop5_rec
  1.46      1.23     0.02   169728     0.00     0.00  Dar_TruthPermute_int
  1.46      1.25     0.02   144475     0.00     0.00  Kit_SopAnyLiteral
  1.46      1.26     0.02    10185     0.00     0.00  If_ObjPerformMappingAnd
  1.09      1.28     0.01  1217244     0.00     0.00  cudaError cudaMalloc<int>(int**, unsigned long)
  0.73      1.29     0.01  5282104     0.00     0.00  Vec_IntEntryP
  0.73      1.30     0.01   247771     0.00     0.00  Kit_SopFactorTrivialCube_rec
  0.73      1.31     0.01   174092     0.00     0.00  Kit_SopWorstLiteral
  0.73      1.32     0.01    43906     0.00     0.00  Dar_LibAddNode
  0.73      1.33     0.01     3296     0.00     0.00  Fxch_SCHashTableRemove
  0.73      1.34     0.01       61     0.00     0.00  Vec_IntErase
  0.73      1.35     0.01        2     0.01     0.01  cuddInitCache
  0.73      1.36     0.01        1     0.01     0.01  ____nv_dummy_param_ref(void*)
  0.36      1.36     0.01     1541     0.00     0.00  Extra_TransferPermute
  0.36      1.37     0.01                             extraBddAndPermute
  0.00      1.37     0.00  2434488     0.00     0.00  dim3::dim3(unsigned int, unsigned int, unsigned int)
  0.00      1.37     0.00  1935322     0.00     0.00  Kit_TruthCofactor0
  0.00      1.37     0.00  1217244     0.00     0.00  compatible_check_kernel(int*, int*, int, int*)
  0.00      1.37     0.00   331373     0.00     0.00  Kit_GraphLeafDepth_rec
  0.00      1.37     0.00   315979     0.00     0.00  Kit_GraphAppendNode
  0.00      1.37     0.00   227765     0.00     0.00  Kit_GraphAddNodeAnd
  0.00      1.37     0.00   179893     0.00     0.00  Kit_SopDivisor
  0.00      1.37     0.00   175102     0.00     0.00  Kit_SopFactor_rec
  0.00      1.37     0.00   169728     0.00     0.00  Dar_TruthPermute
  0.00      1.37     0.00   169500     0.00     0.00  Abc_TtSwapVars
  0.00      1.37     0.00   145652     0.00     0.00  Kit_TruthIsop_rec
  0.00      1.37     0.00   100143     0.00     0.00  If_ManSortCompare
  0.00      1.37     0.00    94853     0.00     0.00  Kit_SopMakeCubeFree
  0.00      1.37     0.00    94223     0.00     0.00  Kit_SopDivideInternal
  0.00      1.37     0.00    93162     0.00     0.00  Kit_SopFactorTrivial_rec
  0.00      1.37     0.00    88214     0.00     0.00  Kit_GraphAddNodeOr
  0.00      1.37     0.00    88200     0.00     0.00  If_CutMergeOrdered
  0.00      1.37     0.00    87361     0.00     0.00  Kit_SopDivideByLiteralQuo
  0.00      1.37     0.00    86731     0.00     0.00  Kit_SopDivisorZeroKernel_rec
  0.00      1.37     0.00    86731     0.00     0.00  Kit_SopDup
  0.00      1.37     0.00    86539     0.00     0.00  If_CutFilter
  0.00      1.37     0.00    84359     0.00     0.00  Kit_SopBestLiteral
  0.00      1.37     0.00    84359     0.00     0.00  Kit_SopBestLiteralCover
  0.00      1.37     0.00    84359     0.00     0.00  Kit_SopDivideByCube
  0.00      1.37     0.00    84359     0.00     0.00  Kit_SopFactorLF_rec
  0.00      1.37     0.00    79539     0.00     0.00  If_CutDelay
  0.00      1.37     0.00    72826     0.00     0.00  Kit_GraphCreate
  0.00      1.37     0.00    72826     0.00     0.00  Kit_GraphFree
  0.00      1.37     0.00    72826     0.00     0.00  Kit_SopCreateInverse
  0.00      1.37     0.00    72826     0.00     0.00  Kit_SopFactor
  0.00      1.37     0.00    72826     0.00     0.00  Kit_TruthIsop
  0.00      1.37     0.00    72826     0.00     0.00  Kit_TruthToGraph
  0.00      1.37     0.00    72826     0.00     0.00  Vec_MemHashInsert
  0.00      1.37     0.00    72826     0.00     0.00  Vec_MemHashLookup
  0.00      1.37     0.00    71391     0.00     0.00  Abc_NtkRenodeEvalAig
  0.00      1.37     0.00    71391     0.00     0.00  If_CutComputeTruth
  0.00      1.37     0.00    71391     0.00     0.00  If_CutTruthW
  0.00      1.37     0.00    68842     0.00     0.00  If_CutSort
  0.00      1.37     0.00    63223     0.00     0.00  If_CutAreaFlow
  0.00      1.37     0.00    49544     0.00     0.00  Dar_LibSetup_rec
