Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 94.64    134.07   134.07 311959590     0.00     0.00  Fxch_SCHashTableEntryCompare
  1.95    136.83     2.76   117283     0.00     0.00  Fxch_SCHashTableInsert
  0.54    137.60     0.77  6790138     0.00     0.00  Kit_TruthIsop5_rec
  0.28    138.00     0.40 11757008     0.00     0.00  Kit_GraphLeafDepth_rec
  0.26    138.37     0.37        1     0.37     0.37  Fxch_CubesUnGruping
  0.23    138.70     0.33  8909638     0.00     0.00  Kit_SopFactorTrivialCube_rec
  0.20    138.99     0.29    24559     0.00     0.00  Fxch_SCHashTableRemove
  0.19    139.26     0.27  6271274     0.00     0.00  Kit_SopWorstLiteral
  0.18    139.51     0.25                             _init
  0.15    139.72     0.21  4563114     0.00     0.00  Kit_TruthIsop_rec
  0.15    139.93     0.21        1     0.21     0.21  Fxch_CubesGruping
  0.12    140.10     0.17  2260446     0.00     0.00  If_CutComputeTruth
  0.11    140.25     0.15 71026978     0.00     0.00  Kit_TruthCofactor0
  0.11    140.40     0.15  3485889     0.00     0.00  Kit_SopDivideInternal
  0.09    140.53     0.13 71026978     0.00     0.00  Kit_TruthCofactor1
  0.09    140.66     0.12 54851867     0.00     0.00  Kit_TruthVarInSupport
  0.07    140.75     0.10   133385     0.00     0.00  If_ObjPerformMappingAnd
  0.06    140.84     0.09  5424181     0.00     0.00  Kit_SopAnyLiteral
  0.05    140.92     0.07  3004141     0.00     0.00  Kit_SopBestLiteral
  0.05    140.99     0.07  2367154     0.00     0.00  If_CutDelay
  0.04    141.05     0.06    31030     0.00     0.00  Fxch_ManDivSingleCube
  0.04    141.10     0.05   516463     0.00     0.00  If_CutAreaDeref
  0.03    141.14     0.04  1831917     0.00     0.00  If_CutAreaFlow
  0.02    141.17     0.03  6742629     0.00     0.00  Abc_TtSwapVars
  0.02    141.20     0.03  6167257     0.00     0.00  Kit_SopFactor_rec
  0.02    141.23     0.03  3493381     0.00     0.00  Kit_GraphAddNodeOr
  0.02    141.26     0.03  3316171     0.00     0.00  Kit_SopFactorTrivial_rec
  0.02    141.29     0.03  3136574     0.00     0.00  Kit_SopDivideByLiteralQuo
  0.02    141.32     0.03  2639821     0.00     0.00  If_CutMergeOrdered
  0.02    141.35     0.03  2281557     0.00     0.00  Kit_TruthIsop
  0.02    141.38     0.03   169728     0.00     0.00  Dar_TruthPermute_int
  0.01    141.40     0.02  6450871     0.00     0.00  Kit_SopDivisor
  0.01    141.42     0.02  3487763     0.00     0.00  Kit_SopMakeCubeFree
  0.01    141.44     0.02  3337037     0.00     0.00  If_ManSortCompare
  0.01    141.46     0.02  3134700     0.00     0.00  Kit_SopDup
  0.01    141.48     0.02  2281557     0.00     0.00  Vec_MemHashLookup
  0.01    141.50     0.02  2260446     0.00     0.00  Abc_NtkRenodeEvalAig
  0.01    141.52     0.02   516463     0.00     0.00  If_CutAreaRef
  0.01    141.53     0.01  3134700     0.00     0.00  Kit_SopDivisorZeroKernel_rec
  0.01    141.54     0.01 11500903     0.00     0.00  Kit_GraphAppendNode
  0.01    141.56     0.01  3004141     0.00     0.00  Kit_SopBestLiteralCover
  0.01    141.56     0.01  3004141     0.00     0.00  Kit_SopDivideByCube
  0.01    141.57     0.01  2509212     0.00     0.00  If_CutFilter
  0.01    141.59     0.01  2281557     0.00     0.00  Kit_GraphCreate
  0.01    141.59     0.01  2211242     0.00     0.00  If_CutSort
  0.01    141.60     0.01   200065     0.00     0.00  Mem_FixedEntryFetch
  0.01    141.62     0.01    51252     0.00     0.00  Hsh_VecManAdd
  0.01    141.62     0.01    26677     0.00     0.00  Abc_AigAnd
  0.01    141.63     0.01     1170     0.00     0.00  Fxch_ManExtractDivFromCubePairs
  0.01    141.65     0.01        5     0.00     0.71  If_ManPerformMappingRound
  0.01    141.66     0.01        2     0.01     0.01  cuddInitCache
  0.01    141.66     0.01                             Kit_TruthSupportSize
  0.00    141.67     0.01                             Kit_TruthPermute
  0.00    141.67     0.00  8007522     0.00     0.00  Kit_GraphAddNodeAnd
  0.00    141.67     0.00  3004141     0.00     0.00  Kit_SopFactorLF_rec
  0.00    141.67     0.00  2281557     0.00     0.00  Kit_GraphFree
  0.00    141.67     0.00  2281557     0.00     0.00  Kit_SopCreateInverse
  0.00    141.67     0.00  2281557     0.00     0.00  Kit_SopFactor
  0.00    141.67     0.00  2281557     0.00     0.00  Kit_TruthToGraph
  0.00    141.67     0.00  2281557     0.00     0.00  Vec_MemHashInsert
  0.00    141.67     0.00  2260446     0.00     0.00  If_CutTruthW
  0.00    141.67     0.00   486033     0.00     0.00  If_CutAreaDerefed
  0.00    141.67     0.00   351189     0.00     0.00  Kit_SopIsCubeFree
  0.00    141.67     0.00   256299     0.00     0.00  Cudd_RecursiveDeref
  0.00    141.67     0.00   220630     0.00     0.00  Kit_SopCommonCubeCover
  0.00    141.67     0.00   187206     0.00     0.00  Extra_ProgressBarUpdate_int
  0.00    141.67     0.00   187161     0.00     0.00  Abc_NodeIsTravIdCurrent
  0.00    141.67     0.00   169728     0.00     0.00  Dar_TruthPermute
  0.00    141.67     0.00   163756     0.00     0.00  Cudd_Ref
  0.00    141.67     0.00   148815     0.00     0.00  Abc_ObjAddFanin
  0.00    141.67     0.00   134330     0.00     0.00  If_ManSetupCutTriv
  0.00    141.67     0.00   133385     0.00     0.00  If_ManDerefNodeCutSet
  0.00    141.67     0.00   133385     0.00     0.00  If_ManSetupNodeCutSet
  0.00    141.67     0.00   129456     0.00     0.00  Abc_SopGetVarNum
  0.00    141.67     0.00   128128     0.00     0.00  st__lookup
  0.00    141.67     0.00   119734     0.00     0.00  Abc_NodeSetTravIdCurrent
  0.00    141.67     0.00   118794     0.00     0.00  Mem_StepEntryFetch
  0.00    141.67     0.00    99564     0.00     0.00  cuddCacheLookup2
  0.00    141.67     0.00    99108     0.00     0.00  extraDecomposeCover
  0.00    141.67     0.00    87085     0.00     0.00  If_CutPropagateRequired
  0.00    141.67     0.00    86304     0.00     0.00  Abc_SopGetCubeNum
  0.00    141.67     0.00    80756     0.00     0.00  Abc_HashKey2
  0.00    141.67     0.00    80298     0.00     0.00  cuddUniqueInter
  0.00    141.67     0.00    79653     0.00     0.00  st__strhash
  0.00    141.67     0.00    76650     0.00     0.00  Cmd_FlagReadByName
  0.00    141.67     0.00    76648     0.00     0.00  Abc_FrameIsFlagEnabled
  0.00    141.67     0.00    76648     0.00     0.00  Abc_FrameReadFlag
  0.00    141.67     0.00    76634     0.00     0.00  Abc_NtkCheckObj
  0.00    141.67     0.00    70775     0.00     0.00  st__gen
